ID,Clinic Name,Clinic URL,Telephone Number,Fax Number,Address,Opening Hours
2357,KILLINEY MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45482,67362998,67362868,"61 KILLINEY ROAD, SINGAPORE 239522","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 06:00 pm | Saturday to Saturday : 09:00 am to 01:00 pm"
2358,KIM TIAN CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=15940,62271612,62271627,"BLK 71 SENG POH ROAD, #01-41 SINGAPORE 160071","Eve of Lunar New Year (04/02/2019) : 09:00 am to 12:30 pm | Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 05:30 pm"
2359,KIM'S DENTAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48206,IM'S DENTAL CLINIC,91265586,"50 EAST COAST ROAD, ROXY SQUARE, #03-13 SINGAPORE 428769",
2360,KIN DENTAL CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47921,69797978,69797978,"BLK 505 WEST COAST DRIVE, #01-214 SINGAPORE 120505",
2361,KIN MUN CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=39931,62566353,62505020,"BLK 66 LORONG 4 TOA PAYOH, ##01-311/313 SINGAPORE 310066",
2362,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=15970,64653050,64635054,"BLK 2 PANDAN VALLEY, ACACIA COURT, #01-212 SINGAPORE 597626","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2363,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=15980,67324718,67338306,"290 ORCHARD ROAD, PARAGON, #07-02/03 SINGAPORE 238859",Monday to Friday : 09:00 am to 05:30 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed
2364,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16000,63424821,63448050,"80 MARINE PARADE RD, PARKWAY PARADE, #05-10/11 SINGAPORE 449269","Monday : 09:00 am to 01:00 pm, 02:00 pm to 07:00 pm | Tuesday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2365,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=31100,64785925,62532953,"820 THOMSON ROAD, MOUNT ALVERNIA MEDICAL CENTRE BLOCK A, #06-03/04 SINGAPORE 574623","Monday to Friday : 09:00 am to 01:00 pm, 02:30 pm to 05:30 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2366,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=34831,64467100,64457943,"319 JOO CHIAT PLACE, PARKWAY EAST MEDICAL CENTRE, #03-04 SINGAPORE 427989","Public Holiday : Closed | Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed"
2367,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=35660,64726018,64755460,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #09-01 SINGAPORE 258499","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2368,KINDER CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44868,62685441,62685093,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #04-23 SINGAPORE 329563","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2369,KINDRED FAMILY CLINIC (KALLANG BAHRU),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48332,69046642,,"BLK 63 KALLANG BAHRU, KALLANG BAHRU VILLE, #01-435 SINGAPORE 330063","Public Holiday : Closed | Monday to Thursday : 08:30 am to 12:30 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Friday : 08:30 am to 12:30 pm, 02:00 pm to 05:00 pm | Saturday and Sunday : 08:30 am to 01:00 pm"
2370,KINDRED FAMILY CLINIC (TAMPINES),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47635,62327893,62232236,"BLK 494 TAMPINES STREET 45, #01-02 SINGAPORE 523494","Monday to Tuesday : 08:30 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Wednesday : 08:30 am to 01:00 pm, 02:00 pm to 05:00 pm | Thursday to Friday : 08:30 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Saturday : 08:30 am to 01:00 pm | Sunday and Public Holiday : Closed"
2371,KINDRED FAMILY CLINIC (YISHUN),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48609,65924504,,"BLK 172 YISHUN AVENUE 7, #01-787 SINGAPORE 760172",
2372,KING GEORGE'S MEDICAL CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45284,62939883,69692343,"803 KING GEORGE'S AVE, #01-144 SINGAPORE 200803",Monday to Saturday : 08:30 am to 12:30 am | Tuesday and Wednesday : 02:30 pm to 04:30 pm | Thursday and Public Holiday : Closed
2373,KING'S HEALTH CARE PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45813,69095400,63338619,"1 ORCHARD BOULEVARD, CAMDEN CENTRE, #10-04A/05/06/07 SINGAPORE 248649",Eve of Lunar New Year (04/02/2019) : 09:45 am to 06:00 pm
2374,KINGS MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16060,62844498,62844977,"59A SERANGOON GARDEN WAY, SINGAPORE 555955","Eve of Chinese New Year (24/01/2020) : 09:00 am to 01:00 pm | Monday to Friday : 09:00 am to 04:30 pm, 06:30 pm to 09:30 pm"
2375,KINGSTON MEDICAL CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48176,62410825,62410825,"250 SIMS AVENUE, SPCS BUILDING, #01-01 SINGAPORE 387513",
2376,KINGSWAY MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47394,69241055,,"BLK 352 CLEMENTI AVENUE 2, CLEMENTI AVENUE 2 SHOPPING CENTRE, #1-103 SINGAPORE 120352",Public Holiday : 08:00 am to 08:00 pm | Monday to Sunday : 08:00 am to 08:00 pm
2377,KINGSWAY MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47924,69171055,,"BLK 109 LORONG 1 TOA PAYOH, #01-316 SINGAPORE 310109",24 Hour
2378,KINGSWAY MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48547,69241055,,"140 UPPER BUKIT TIMAH ROAD, BEAUTY WORLD PLAZA, #01-02 SINGAPORE 588176","Public Holiday : Closed | Monday to Friday : 08:00 am to 01:00 pm, 06:00 pm to 10:00 pm | Saturday and Sunday : 08:00 am to 01:00 pm"
2379,KIRIN CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16070,67464681,67464681,"BLK 5 EUNOS CRESCENT, #01-2601 SINGAPORE 400005","Public Holiday : Closed | Chinese New Year (Eve) (27/01/2017) : 08:30 am to 12:30 pm | Chinese New Year (28/01/2017) : Closed | Chinese New Year (29/01/2017) : Closed | Chinese New Year (Monday) (30/01/2017) : Closed | Monday to Tuesday : 08:30 am to 12:30 pm, 02:30 pm to 04:30 pm, 06:30 pm to 09:00 pm | Wednesday : 08:30 am to 12:30 pm, 02:30 pm to 04:30 pm | Thursday to Friday : 08:30 am to 12:30 pm, 02:30 pm to 04:30 pm, 06:30 pm to 09:00 pm | Sunday : Closed"
2380,KK QUECK NEUROLOGY CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47044,88917996,62540315,"820 THOMSON ROAD, MEDICAL CENTRE A, MOUNT ALVERNIA HOSPITAL, #02-01A SINGAPORE 574623",
2381,KK TANG BRAINSPINE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44468,63390528,63390823,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #10-28/29 SINGAPORE 329563","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2382,KKH DEPARTMENT OF CHILD DEVELOPMENT (PUNGGOL),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48589,68860776,,"1 PUNGGOL DRIVE, ONE PUNGGOL, #04-07 SINGAPORE 828629",
2383,KKH@HALIFAX,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47939,62255554,,"11 HALIFAX ROAD, SINGAPORE 229262",
2384,KL LING GASTROENTEROLOGY AND LIVER CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44979,62352135,62352192,"3 MOUNT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #16-04 SINGAPORE 228510","Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2385,KL NG MEDICAL CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44727,62712554,62712558,"BLK 1 JALAN BUKIT MERAH, #01-4530 SINGAPORE 150001","Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:30 pm | Monday to Thursday : 08:30 am to 04:00 pm, 06:00 pm to 08:00 pm | Friday : 08:30 am to 04:00 pm | Saturday : 08:30 am to 12:30 pm | Sunday : 09:00 am to 12:30 pm"
2386,KL TAN CLINIC & SURGERY FOR WOMEN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47478,69020082,69020043,"339 THOMSON ROAD, THOMSON MEDICAL CENTRE, #06-05 SINGAPORE 307677",
2387,KL TAN CLINIC & SURGERY FOR WOMEN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48561,69020082,69020043,"BLK 506 BISHAN STREET 11, #01-404 SINGAPORE 570506",
2388,KLINIK BURHANI,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16100,64442559,63484189,"BLK 136 BEDOK NORTH AVE 3, #01-150 SINGAPORE 460136",Chinese New Year (Eve) (27/01/2017) : 09:00 am to 12:00 pm | Chinese New Year (28/01/2017) : 09:00 am to 12:00 pm | Chinese New Year (29/01/2017) : Closed | Chinese New Year (Monday) (30/01/2017) : 09:00 am to 12:00 pm | Monday to Friday : 09:00 am to 05:00 pm
2389,KO & KO SPECIALISTS PTE LTD - PSYCHOLOGICAL HEALTH AND AGE CARE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36686,63569633,63563261,"820 THOMSON ROAD, MOUNT ALVERNIA MEDICAL CENTRE BLOCK A, #02-05 SINGAPORE 574623",
2390,KO DJENG DENTAL CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36034,67343163,68351151,"304 ORCHARD ROAD, LUCKY PLAZA, #05-15 SINGAPORE 238863",Monday to Friday : 09:00 am to 05:30 pm | Saturday : 09:00 am to 01:30 pm
2391,KO DJENG DENTAL CENTRE (JELITA BRANCH),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36035,64657177,68750310,"293 HOLLAND ROAD, COLD STORAGE JELITA SHOPPING CENTRE, #02-09 SINGAPORE 278628",Monday to Friday : 09:00 am to 05:30 pm | Saturday : 09:00 am to 01:30 pm
2392,KO DJENG SAKURA DENTAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44652,62226163,62223616,"12 GOPENG STREET, ICON VILLAGE, #01-73 SINGAPORE 078877",Monday to Friday : 09:00 am to 05:30 pm | Saturday : 09:00 am to 01:30 pm
2393,KO FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16170,68421403,68421413,"BLK 18 UPPER BOON KENG ROAD, #01-1133 SINGAPORE 380018",Eve of Chinese New Year (15/02/2018) : 08:30 am to 01:00 pm | Chinese New Year (16/02/2018) : Closed | Chinese New Year (17/02/2018) : Closed | Chinese New Year (18/02/2018) : Closed | Monday and Wednesday : 04:00 pm to 07:30 am | Monday to Friday : 08:30 am to 01:00 pm | Friday : 04:00 pm to 07:30 pm | Saturday and Sunday : 09:00 am to 12:00 pm
2394,KOH CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16180,65619938,65678985,"BLK 166 BUKIT BATOK WEST AVENUE 8, #01-250 SINGAPORE 650166",Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:30 pm
2395,KOH DENTAL SURGERY PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45748,67770181,67755952,"1 WEST COAST DRIVE, NEWEST, #01-03/04 SINGAPORE 128020",
2396,KOH DENTAL SURGERY PTE LTD - JURONG EAST,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16200,65600033,65600033,"BLK 252 JURONG EAST ST 24, #01-149 SINGAPORE 600252","Monday to Thursday : 08:30 am to 01:00 pm, 02:00 pm to 06:00 pm | Friday : 09:00 am to 12:30 pm | Saturday : 09:00 am to 01:00 pm, 02:00 pm to 04:30 pm | Sunday : 09:00 am to 12:00 pm"
2397,KOH WEI HOWE ARTHRITIS AND RHEUMATISM MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16230,67375255,67325066,"3 MT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #07-05 SINGAPORE 228510","Monday to Friday : 08:45 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday to Saturday : 08:45 am to 01:00 pm"
2398,KOH'S T & T CLINIC AND SURGERY PTE. LTD.,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16250,63823103,63823103,"BLK 237 SERANGOON AVE 3, #01-126 SINGAPORE 550237","Monday and Tuesday : 08:00 am to 12:00 pm, 02:00 pm to 04:30 pm | Wednesday and Saturday : 08:00 am to 12:00 pm | Thursday and Friday : 08:00 am to 12:00 pm, 02:00 pm to 04:30 pm | Sunday and Public Holiday : Closed"
2399,KONG CLINIC FOR CHEST & INTERNAL MEDICINE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44820,64438810,64438853,"1 FARRER PARK STATION ROAD, CONNEXION, #13-12 SINGAPORE 217562","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
2400,KONG DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=39560,67679502,67695833,"BLK 533 CHOA CHU KANG STREET 51, LIMBANG SHOPPING CENTRE, #02-08 SINGAPORE 680533",
2401,KONG DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45113,62195898,67679502,"BLK 143 TECK WHYE LANE, #01-239 SINGAPORE 680143",
2402,KONG DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45449,64932587,67679502,"BLK 475 CHOA CHU KANG AVENUE 3, SUNSHINE PLACE, #02-06 SINGAPORE 680475",
2403,KONG DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47452,92985853,67695833,"21 CHOA CHU KANG NORTH 6, YEWTEE POINT, #01-27 SINGAPORE 689578",
2404,KONG DENTAL SURGERY (JURONG),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46157,67695833,67695833,"BLK 134 JURONG GATEWAY ROAD, #02-307 SINGAPORE 600134",
2405,KONG KIAN CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46005,62887101,62887101,"187 UPPER PAYA LEBAR ROAD, SINGAPORE 534869","Monday and Wednesday : 08:30 pm to 12:30 pm, 01:30 pm to 04:30 pm, 05:30 pm to 08:00 pm | Tuesday : 08:30 pm to 12:30 pm, 01:30 pm to 04:30 pm | Thursday to Friday : 08:30 am to 12:30 pm, 01:30 pm to 04:30 pm | Saturday : 08:30 am to 12:30 pm | Sunday to Public Holiday : Closed"
2406,KOO CARDIAC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16290,64761488,64760848,"6 NAPIER RD, GLENEAGLES MEDICAL CENTRE, #02-15 SINGAPORE 258499",Monday to Friday : 09:00 am to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed
2407,KOONG & HO SURGERY CENTRE PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44774,62684028,62684208,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #09-30 SINGAPORE 329563",Monday to Friday : 08:00 am to 05:30 pm | Saturday : 08:00 am to 12:30 pm
2408,KOVAN CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16310,62862202,62860600,"BLK 210 HOUGANG ST 21, #01-271 SINGAPORE 530210",Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pm | Chinese New Year (27/01/2020) : 08:30 am to 12:00 pm
2409,KOWA CLINIC & SURGERY FOR WOMEN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16320,62351151,67386805,"3 MT ELIZABETH, MT ELIZABETH MEDICAL CENTRE, #16-17/18 SINGAPORE 228510",Monday to Saturday : 09:00 am to 05:00 pm
2410,KOWAYO AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48091,68844280,68844290,"1 RAFFLES LINK, CITYLINK MALL, #B1-25/27/29 SINGAPORE 039393",
2411,KUSUMA LEE CLINIC & SURGERY FOR WOMEN PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16390,67360405,62358724,"304 ORCHARD RD, LUCKY PLAZA, #06-51 SINGAPORE 238863",Monday to Friday : 09:00 am to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed
2412,KWAN IM THONG HOOD CHO TEMPLE - NKF DIALYSIS CENTRE KOLAM AYER BRANCH,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45201,62990200,62913969,"BLK 43 BENDEMEER ROAD, #01-1018 SINGAPORE 330043",
2413,KWAN IM THONG HOOD CHO TEMPLE-NKF DIALYSIS CENTRE (SIMEI BRANCH),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16400,62990200,67866268,"BLK 101 SIMEI ST 1, #01-892 SINGAPORE 520101",Monday to Saturday : 07:00 am to 11:00 pm | Sunday : Closed
2414,KYM SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46912,64433133,64433173,"1 FARRER PARK STATION ROAD, CONNEXION, #13-05/06 SINGAPORE 217562",
2415,KYM SURGERY@ ORCHARD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47802,69081712,69801721,"3 MOUNT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #12-01 SINGAPORE 228510",
2416,L & H POLYCLINIC AND SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16430,64744544,64762215,"BLK 59 LENGKOK BAHRU, #01-543 SINGAPORE 150059","Public Holiday : Closed | Monday to Thursday : 08:30 am to 12:30 pm, 02:00 pm to 06:00 pm | Friday and Saturday : 08:30 am to 12:30 pm | Sunday and Public Holiday : Closed"
2417,L & L FAMILY MEDICINE CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16440,64588001,64596435,"6 SIN MING ROAD, SIN MING PLAZA TOWER 2, #01-07 SINGAPORE 575585","Monday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm, 06:45 pm to 09:00 pm | Tuesday : 08:30 pm to 12:30 pm, 02:00 pm to 04:30 pm, 06:45 pm to 09:00 pm | Wednesday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm | Thursday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm | Friday : 08:30 am to 12:30 pm | Saturday : 08:30 am to 12:30 pm | Sunday and Public Holiday : Closed"
2418,L C LIEN DENTAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=34105,68353811,68353822,"501 ORCHARD ROAD, WHEELOCK PLACE, #05-03 SINGAPORE 238880",
2419,L N SIM CLINIC FOR WOMEN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16460,63539270,62517113,"339 THOMSON ROAD, THOMSON MEDICAL CENTRE, #04-05 SINGAPORE 307677","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm"
2420,L P CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16470,67354526,67354527,"3 MT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #05-01 SINGAPORE 228510",
2421,L'VING VINE MEDICAL & WELLNESS CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37390,67777442,67777563,"154 WEST COAST ROAD, WEST COAST PLAZA, #01-84/85 SINGAPORE 127371","Public Holiday : Closed | Monday to Tuesday : 10:30 am to 02:00 pm, 06:30 pm to 09:30 pm | Wednesday : 10:30 am to 02:00 pm | Thursday : 06:30 pm to 09:30 pm | Friday : 10:30 am to 02:00 pm, 06:30 pm to 09:30 pm | Saturday : 10:30 am to 02:00 pm | Sunday : Closed"
2422,LA CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=42214,62354040,67331721,"290 ORCHARD ROAD, PARAGON, #08-01/02 SINGAPORE 238859",
2423,LAI ENDOSCOPY & COLORECTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45683,67370027,67353558,"3 MOUNT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #05-06 SINGAPORE 228510",
2424,LAI MEDICAL CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16490,65632935,65638276,"BLK 213 BT BATOK ST 21, #01-209 SINGAPORE 650213","Monday and Thursday : 08:30 am to 12:30 pm, 02:00 pm to 04:00 pm | Tuesday : 08:30 am to 12:30 pm, 02:00 pm to 04:00 pm | Wednesday and Saturday : 08:30 am to 12:30 pm | Friday : 08:30 am to 12:30 pm | Sunday and Public Holiday : Closed"
2425,LAKESIDE DENTIST PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41401,65658161,65658161,"BLK 342 JURONG EAST ST 31, #01-05 SINGAPORE 600342","Monday to Tuesday : 09:00 am to 01:00 pm, 02:00 pm to 06:00 pm | Wednesday : 09:00 am to 01:00 pm, 02:00 pm to 08:30 pm | Thursday : 09:00 am to 01:00 pm, 02:00 pm to 06:00 pm | Friday : Closed | Saturday : 08:30 am to 01:00 pm | Sunday and Public Holiday : Closed"
2426,LAKESIDE FAMILY MEDICINE CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45681,62626434,62626443,"518A JURONG WEST STREET 52, #01-02 SINGAPORE 641518","Public Holiday : Closed | Monday to Friday : 08:30 am to 12:30 pm, 01:30 pm to 05:30 pm | Saturday : 08:30 am to 12:30 pm | Sunday : Closed"
2427,LAM BABY & CHILD CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16520,65338833,67346737,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #06-03 SINGAPORE 258499",Monday to Friday : 09:00 am to 04:30 pm | Saturday : 09:00 am to 12:00 pm
2428,LAM DENTAL SURGERY PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16540,62350646,67328738,"1 GRANGE ROAD, ORCHARD BUILDING, #10-01 SINGAPORE 239693",
2429,LAN MEDICAL CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=16550,67735112,67775670,"308 CLEMENTI AVE 4, #01-345 SINGAPORE 120308","Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:00 pm, 02:00 pm to 04:00 pm | Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pm, 07:00 pm to 09:00 pm | Saturday : 08:30 am to 12:30 am, 02:30 am to 04:00 pm | Sunday to Sunday : 09:30 am to 12:30 pm, 02:30 pm to 04:30 pm"
2430,LANG EYE CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=43333,66841000,66840500,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #08-46/47 SINGAPORE 329563",Monday to Friday : 08:30 am to 05:30 pm | Saturday to Saturday : 08:30 am to 12:30 pm
2431,LANG EYE CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44871,66841000,66840500,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #08-44 SINGAPORE 329563","Monday to Friday : 08:30 am to 12:00 pm, 01:30 pm to 05:00 pm | Saturday to Saturday : 08:30 am to 12:00 pm"
2432,LASER CLINICS ASIA,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47895,60110148,98562484,"80 MARINE PARADE ROAD, PARKWAY PARADE, #B1-156-158 SINGAPORE 449269",Monday to Saturday : 10:00 am to 08:00 pm | Sunday and Public Holiday : Closed
2433,LASER CLINICS ASIA AT PRIVÉ,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47743,67376639,68974298,"390 ORCHARD ROAD, PALAIS RENAISSANCE, #03-02/03 SINGAPORE 238871",
